Scenario - visual LTP Rap V4.0 HVB (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 03/23/2015 11:06:13

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur
08-0303	94	Picture	full1n	1099503	0	1	4167	2	0	4120
08-0303	95	Picture	full0i	1112670	0	1	4333	2	0	4290
08-0303	96	Picture	blue1i	1124170	0	1	4000	2	0	3950
08-0303	97	Picture	full0n	1135170	0	1	2834	2	0	2790
08-0303	98	Picture	full1n	1146504	0	1	4166	2	0	4120
08-0303	99	Picture	full0i	1159170	0	1	3167	2	0	3120
08-0303	100	Picture	full0n	1171837	0	1	3667	2	0	3620
08-0303	101	Picture	full1i	1184670	0	1	3834	2	0	3790
08-0303	102	Picture	full0i	1198170	0	1	3500	2	0	3450
08-0303	103	Picture	full0n	1210504	0	1	2500	2	0	2450
08-0303	104	Picture	full0i	1222004	0	1	2833	2	0	2790
08-0303	105	Picture	full0n	1233337	0	1	3500	2	0	3450
08-0303	106	Picture	full0i	1245671	0	1	3000	2	0	2950
08-0303	107	Picture	full1n	1257837	0	1	5000	2	0	4950
08-0303	108	Picture	full0n	1270004	0	1	4333	2	0	4290
08-0303	109	Picture	full0i	1282337	0	1	4834	2	0	4790
08-0303	110	Picture	full0n	1295837	0	1	3500	2	0	3450
08-0303	111	Picture	blue0i	1307671	0	1	3833	2	0	3790
08-0303	111	Response	10	1312598	4927	2
08-0303	112	Picture	full0n	1319837	0	2	3334	3	0	3290
08-0303	113	Picture	full0i	1333004	0	1	3000	2	0	2950
08-0303	114	Picture	full1i	1344004	0	1	2667	2	0	2620
08-0303	115	Picture	full1n	1357171	0	1	3333	2	0	3290
08-0303	116	Picture	full0n	1370338	0	1	4833	2	0	4790
08-0303	117	Picture	full1i	1383838	0	1	4333	2	0	4290
08-0303	118	Picture	full1n	1396004	0	2	3834	3	0	3790
08-0303	119	Picture	full1i	1407838	0	1	4000	2	0	3950
08-0303	120	Picture	full1n	1418671	0	1	3167	2	0	3120
08-0303	121	Picture	blue0i	1430838	0	1	4333	2	0	4290
08-0303	121	Response	10	1436197	5359	1
08-0303	122	Picture	full0n	1442671	0	1	3000	2	0	2950
08-0303	123	Picture	full0i	1455005	0	1	4333	2	0	4290
08-0303	124	Picture	full1i	1468171	0	1	2667	2	0	2620
08-0303	125	Picture	full0n	1479005	0	1	4166	2	0	4120
08-0303	126	Picture	full0i	1491171	0	2	4834	3	0	4790
08-0303	127	Picture	full0n	1503838	0	1	2667	2	0	2620
08-0303	128	Picture	full0i	1516672	0	1	3166	2	0	3120
08-0303	129	Picture	full0n	1529505	0	1	4833	2	0	4790
08-0303	130	Picture	full0i	1541672	0	1	3666	2	0	3620
08-0303	131	Picture	blue1n	1554005	0	1	4500	2	0	4450
08-0303	131	Response	10	1561995	7990	1
08-0303	132	Picture	full0n	1566672	0	1	4166	2	0	4120
08-0303	133	Picture	full0i	1579338	0	2	4667	3	0	4620
08-0303	134	Picture	full1i	1592505	0	1	4333	3	0	4290
08-0303	135	Picture	full1n	1604005	0	1	3667	2	0	3620
08-0303	136	Picture	82	1615005	0	1	100167	2	0	next
08-0303	136	Picture	82	1715172	100167	1	10000	2	100000	next
08-0303	136	Picture	82	1725172	110167	1	10000	2	110000	next
08-0303	136	Picture	82	1735172	120167	1	10000	2	120000	next
08-0303	136	Picture	82	1745172	130167	1	10000	2	130000	next
08-0303	136	Picture	82	1755172	140167	1	10000	2	140000	next
08-0303	136	Picture	82	1765172	150167	1	10000	3	150000	next
08-0303	136	Picture	82	1775172	160167	2	10000	4	160000	next
08-0303	136	Picture	82	1785172	170167	2	10001	3	170000	next
08-0303	136	Picture	82	1795173	180168	1	10000	2	180000	next
08-0303	136	Picture	82	1805173	190168	1	10000	2	190000	10000
