Scenario - visual LTP Rap V4.0 HVB (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 10/23/2015 12:17:44

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
07_S0314_v0	73	Picture	full1n	841679	0	1	4500	2	0	4450	other	0
07_S0314_v0	74	Picture	full0n	854012	0	2	4833	4	0	4790	other	0
07_S0314_v0	75	Picture	full1i	864846	0	1	2666	3	0	2620	other	0
07_S0314_v0	76	Picture	full0i	876346	0	1	4500	2	0	4450	other	0
07_S0314_v0	77	Picture	full1n	888513	0	1	4333	2	0	4290	other	0
07_S0314_v0	78	Picture	full0n	900679	0	2	3834	3	0	3790	other	0
07_S0314_v0	79	Picture	blue0i	913013	0	1	2833	3	0	2790	false_alarm	87
07_S0314_v0	79	Response	10	917271	4258	2
07_S0314_v0	80	Picture	full0n	926513	0	2	4167	3	0	4120	other	0
07_S0314_v0	81	Picture	full0i	938680	0	1	2500	2	0	2450	other	0
07_S0314_v0	82	Picture	full1i	951514	0	1	4833	2	0	4790	other	0
07_S0314_v0	83	Picture	full1n	962514	0	1	2833	2	0	2790	other	0
07_S0314_v0	84	Picture	full1i	975181	0	1	4000	2	0	3950	other	0
07_S0314_v0	85	Picture	full0n	988681	0	1	3833	2	0	3790	other	0
07_S0314_v0	86	Picture	full1n	1000014	0	2	4667	3	0	4620	other	0
07_S0314_v0	87	Picture	full1i	1011848	0	1	4000	2	0	3950	other	0
07_S0314_v0	88	Picture	full1n	1022848	0	1	3167	2	0	3120	other	0
07_S0314_v0	89	Picture	full0i	1036348	0	2	3834	3	0	3790	other	0
07_S0314_v0	90	Picture	full1i	1049515	0	2	2500	3	0	2450	other	0
07_S0314_v0	91	Picture	full0n	1061682	0	1	4333	2	0	4290	other	0
07_S0314_v0	92	Picture	full0i	1074515	0	2	4001	3	0	3950	other	0
07_S0314_v0	93	Picture	full0n	1086682	0	2	4167	3	0	4120	other	0
07_S0314_v0	94	Picture	full1n	1098849	0	2	4167	3	0	4120	other	0
07_S0314_v0	95	Picture	full0i	1112016	0	1	4333	3	0	4290	other	0
07_S0314_v0	96	Picture	blue1i	1123516	0	2	4000	4	0	3950	false_alarm	105
07_S0314_v0	96	Response	10	1128161	4645	2
07_S0314_v0	97	Picture	full0n	1134516	0	2	2834	3	0	2790	other	0
07_S0314_v0	98	Picture	full1n	1145850	0	1	4167	2	0	4120	other	0
07_S0314_v0	99	Picture	full0i	1158517	0	1	3166	3	0	3120	other	0
07_S0314_v0	100	Picture	full0n	1171184	0	1	3666	2	0	3620	other	0
07_S0314_v0	101	Picture	full1i	1184017	0	2	3834	3	0	3790	other	0
07_S0314_v0	102	Picture	full0i	1197517	0	2	3500	4	0	3450	other	0
07_S0314_v0	103	Picture	full0n	1209851	0	1	2500	2	0	2450	other	0
07_S0314_v0	104	Picture	full0i	1221351	0	1	2833	3	0	2790	other	0
07_S0314_v0	105	Picture	full0n	1232684	0	2	3500	4	0	3450	other	0
07_S0314_v0	106	Picture	full0i	1245018	0	1	3000	2	0	2950	other	0
07_S0314_v0	107	Picture	full1n	1257185	0	1	5000	2	0	4950	other	0
07_S0314_v0	108	Picture	full0n	1269352	0	1	4333	2	0	4290	other	0
07_S0314_v0	109	Picture	full0i	1281685	0	2	4834	3	0	4790	other	0
07_S0314_v0	110	Picture	full0n	1295185	0	2	3500	4	0	3450	other	0
07_S0314_v0	111	Picture	blue0i	1307019	0	1	3833	3	0	3790	false_alarm	121
07_S0314_v0	111	Response	10	1310861	3842	3
07_S0314_v0	112	Picture	full0n	1319186	0	1	3333	2	0	3290	other	0
07_S0314_v0	113	Picture	full0i	1332353	0	1	3000	2	0	2950	other	0
07_S0314_v0	114	Picture	full1i	1343353	0	1	2667	2	0	2620	other	0
07_S0314_v0	115	Picture	full1n	1356520	0	1	3333	2	0	3290	other	0
07_S0314_v0	116	Picture	full0n	1369687	0	1	4833	2	0	4790	other	0
07_S0314_v0	117	Picture	full1i	1383187	0	1	4333	2	0	4290	other	0
07_S0314_v0	118	Picture	full1n	1395354	0	1	3832	5	0	3790	other	0
07_S0314_v0	119	Picture	full1i	1407187	0	1	4000	2	0	3950	other	0
07_S0314_v0	120	Picture	full1n	1418021	0	1	3166	3	0	3120	other	0
07_S0314_v0	121	Picture	blue0i	1430188	0	1	4333	2	0	4290	false_alarm	132
07_S0314_v0	121	Response	10	1434161	3973	2
07_S0314_v0	122	Picture	full0n	1442021	0	1	3000	2	0	2950	other	0
07_S0314_v0	123	Picture	full0i	1454354	0	2	4334	3	0	4290	other	0
07_S0314_v0	124	Picture	full1i	1467521	0	2	2667	3	0	2620	other	0
07_S0314_v0	125	Picture	full0n	1478355	0	1	4167	2	0	4120	other	0
07_S0314_v0	126	Picture	full0i	1490522	0	1	4833	2	0	4790	other	0
07_S0314_v0	127	Picture	full0n	1503189	0	1	2666	3	0	2620	other	0
07_S0314_v0	128	Picture	full0i	1516022	0	1	3167	2	0	3120	other	0
07_S0314_v0	129	Picture	full0n	1528856	0	1	4833	2	0	4790	other	0
07_S0314_v0	130	Picture	full0i	1541022	0	2	3667	3	0	3620	other	0
07_S0314_v0	131	Picture	blue1n	1553356	0	1	4500	2	0	4450	false_alarm	143
07_S0314_v0	131	Response	10	1557261	3905	2
07_S0314_v0	132	Picture	full0n	1566023	0	1	4167	2	0	4120	other	0
07_S0314_v0	133	Picture	full0i	1578690	0	1	4666	3	0	4620	other	0
07_S0314_v0	134	Picture	full1i	1591857	0	1	4333	2	0	4290	other	0
07_S0314_v0	135	Picture	full1n	1603357	0	1	3667	2	0	3620	other	0
07_S0314_v0	136	Picture	82	1614357	0	1	100168	2	0	next	other	0
07_S0314_v0	136	Picture	82	1714525	100168	1	10000	3	100000	next	other	0
07_S0314_v0	136	Picture	82	1724525	110168	2	10000	4	110000	next	other	0
07_S0314_v0	136	Picture	82	1734525	120168	2	10001	3	120000	next	other	0
07_S0314_v0	136	Picture	82	1744526	130169	1	10000	2	130000	next	other	0
07_S0314_v0	136	Picture	82	1754526	140169	1	10000	2	140000	next	other	0
07_S0314_v0	136	Picture	82	1764526	150169	1	10000	2	150000	next	other	0
07_S0314_v0	136	Picture	82	1774526	160169	1	10000	2	160000	next	other	0
07_S0314_v0	136	Picture	82	1784526	170169	1	10000	3	170000	next	other	0
07_S0314_v0	136	Picture	82	1794526	180169	2	10000	4	180000	next	other	0
07_S0314_v0	136	Picture	82	1804526	190169	2	10001	3	190000	10000	other	0
07_S0314_v0	137	Picture	full0n	1814527	0	1	4666	3	0	4620	other	0
07_S0314_v0	138	Picture	full1n	1825860	0	2	2667	3	0	2620	other	0
07_S0314_v0	139	Picture	full1i	1838027	0	1	4333	3	0	4290	other	0
07_S0314_v0	140	Picture	full1n	1849861	0	1	2666	2	0	2620	other	0
07_S0314_v0	141	Picture	full0i	1860694	0	1	4000	2	0	3950	other	0
07_S0314_v0	142	Picture	full0n	1873527	0	2	2501	3	0	2450	other	0
07_S0314_v0	143	Picture	full1i	1885028	0	1	4833	3	0	4790	other	0
07_S0314_v0	144	Picture	full0i	1897361	0	2	2500	4	0	2450	other	0
07_S0314_v0	145	Picture	blue0n	1909528	0	1	2833	3	0	2790	false_alarm	168
07_S0314_v0	145	Response	10	1915061	5533	2
07_S0314_v0	146	Picture	full0i	1921361	0	2	4667	3	0	4620	other	0
07_S0314_v0	147	Picture	full1n	1934195	0	1	4834	2	0	4790	other	0
07_S0314_v0	148	Picture	full0n	1945529	0	1	4166	2	0	4120	other	0
07_S0314_v0	149	Picture	full0i	1958195	0	2	4667	3	0	4620	other	0
07_S0314_v0	150	Picture	blue1i	1970529	0	1	4000	2	0	3950	false_alarm	174
07_S0314_v0	150	Response	10	1974461	3932	2
07_S0314_v0	151	Picture	full1n	1982362	0	2	3000	4	0	2950	other	0
07_S0314_v0	152	Picture	full1i	1993196	0	1	4333	3	0	4290	other	0
07_S0314_v0	153	Picture	full1n	2004696	0	2	4167	3	0	4120	other	0
07_S0314_v0	154	Picture	full0n	2016863	0	1	3167	2	0	3120	other	0
07_S0314_v0	155	Picture	full1i	2029530	0	1	3833	2	0	3790	other	0
07_S0314_v0	156	Picture	full1n	2042697	0	1	4166	3	0	4120	other	0
07_S0314_v0	157	Picture	full0i	2054864	0	1	2500	2	0	2450	other	0
07_S0314_v0	158	Picture	blue0n	2067030	0	2	4167	3	0	4120	false_alarm	183
07_S0314_v0	158	Response	10	2071251	4221	3
07_S0314_v0	159	Picture	full1i	2078031	0	1	3000	2	0	2950	other	0
07_S0314_v0	160	Picture	full1n	2090697	0	2	2834	3	0	2790	other	0
07_S0314_v0	161	Picture	full1i	2101531	0	1	3167	2	0	3120	other	0
07_S0314_v0	162	Picture	full0i	2114698	0	1	4833	2	0	4790	other	0
07_S0314_v0	163	Picture	full0n	2126865	0	1	4166	3	0	4120	other	0
07_S0314_v0	164	Picture	full1n	2137865	0	1	5000	2	0	4950	other	0
07_S0314_v0	165	Picture	full0i	2151365	0	1	4500	2	0	4450	other	0
07_S0314_v0	166	Picture	full1i	2162698	0	2	4501	3	0	4450	other	0
07_S0314_v0	167	Picture	full0n	2175865	0	2	4167	3	0	4120	other	0
07_S0314_v0	168	Picture	full0i	2187365	0	2	4501	3	0	4450	other	0
07_S0314_v0	169	Picture	blue0n	2199532	0	2	2500	4	0	2450	false_alarm	195
07_S0314_v0	169	Response	10	2203651	4119	2
07_S0314_v0	170	Picture	full1n	2211033	0	1	4000	2	0	3950	other	0
07_S0314_v0	171	Picture	full1i	2222533	0	1	4833	2	0	4790	other	0
07_S0314_v0	172	Picture	full0i	2236033	0	1	2833	3	0	2790	other	0
07_S0314_v0	173	Picture	full0n	2248700	0	1	4333	2	0	4290	other	0
07_S0314_v0	174	Picture	full0i	2260033	0	2	3334	3	0	3290	other	0
07_S0314_v0	175	Picture	full0n	2271867	0	1	5000	2	0	4950	other	0
07_S0314_v0	176	Picture	full1n	2284034	0	1	3166	3	0	3120	other	0
07_S0314_v0	177	Picture	full1i	2295034	0	1	4000	2	0	3950	other	0
07_S0314_v0	178	Picture	full1n	2306034	0	1	4000	2	0	3950	other	0
07_S0314_v0	179	Picture	full0i	2317034	0	1	4834	2	0	4790	other	0
07_S0314_v0	180	Picture	full1i	2327868	0	1	3000	2	0	2950	other	0
07_S0314_v0	181	Picture	full0n	2340201	0	2	3167	3	0	3120	other	0
07_S0314_v0	182	Picture	full0i	2352868	0	1	3333	3	0	3290	other	0
07_S0314_v0	183	Picture	blue1n	2365035	0	1	2833	3	0	2790	false_alarm	210
07_S0314_v0	183	Response	10	2368751	3716	3
07_S0314_v0	184	Picture	full0n	2377368	0	2	4167	3	0	4120	other	0
07_S0314_v0	185	Picture	full0i	2389202	0	1	3667	2	0	3620	other	0
07_S0314_v0	186	Picture	full1i	2401369	0	1	3833	2	0	3790	other	0
07_S0314_v0	187	Picture	full0n	2414869	0	1	3000	2	0	2950	other	0
07_S0314_v0	188	Picture	full0i	2426703	0	1	4833	2	0	4790	other	0
07_S0314_v0	189	Picture	full0n	2440203	0	1	4500	2	0	4450	other	0
07_S0314_v0	190	Picture	full0i	2451703	0	1	4500	2	0	4450	other	0
07_S0314_v0	191	Picture	full0n	2463036	0	2	3167	3	0	3120	other	0
07_S0314_v0	192	Picture	full1n	2476203	0	2	4500	3	0	4450	other	0
07_S0314_v0	193	Picture	blue0i	2488537	0	1	3166	3	0	3120	false_alarm	221
07_S0314_v0	193	Response	10	2493551	5014	2
07_S0314_v0	194	Picture	full0n	2501204	0	1	3500	2	0	3450	other	0
07_S0314_v0	194	Response	10	2512951	11747	2
07_S0314_v0	195	Picture	full0i	2513537	0	2	4334	3	0	4290	other	0
07_S0314_v0	196	Picture	full0n	2524371	0	1	3000	2	0	2950	other	0
07_S0314_v0	197	Picture	full0i	2537204	0	2	3500	3	0	3450	other	0
07_S0314_v0	198	Picture	full0n	2549371	0	1	3333	3	0	3290	other	0
07_S0314_v0	199	Picture	full1i	2561538	0	1	3167	2	0	3120	other	0
07_S0314_v0	200	Picture	blue0i	2573705	0	1	4666	3	0	4620	false_alarm	230
07_S0314_v0	200	Response	10	2578451	4746	3
07_S0314_v0	201	Picture	full1n	2585872	0	1	2666	2	0	2620	other	0
07_S0314_v0	202	Picture	full0n	2596705	0	1	3667	2	0	3620	other	0
07_S0314_v0	203	Picture	full0i	2609039	0	1	4832	4	0	4790	other	0
07_S0314_v0	204	Picture	full0n	2622205	0	2	3334	3	0	3290	other	0
07_S0314_v0	205	Picture	full0i	2635372	0	2	3834	3	0	3790	other	0
07_S0314_v0	206	Picture	full1i	2647539	0	2	3834	3	0	3790	other	0
07_S0314_v0	207	Picture	full0n	2659373	0	1	4500	2	0	4450	other	0
07_S0314_v0	208	Picture	full1n	2670373	0	1	4833	2	0	4790	other	0
07_S0314_v0	209	Picture	full0i	2682206	0	2	2667	3	0	2620	other	0
07_S0314_v0	210	Picture	full1i	2693706	0	2	4501	3	0	4450	other	0
07_S0314_v0	211	Picture	full0n	2707207	0	1	4333	2	0	4290	other	0
07_S0314_v0	212	Picture	full1n	2718707	0	1	3833	2	0	3790	other	0
07_S0314_v0	213	Picture	full1i	2731040	0	2	2834	3	0	2790	other	0
07_S0314_v0	214	Picture	blue1n	2742374	0	1	4167	2	0	4120	false_alarm	245
07_S0314_v0	214	Response	10	2746851	4477	3
07_S0314_v0	215	Picture	full1i	2753374	0	2	2500	3	0	2450	other	0
07_S0314_v0	216	Picture	full0i	2766041	0	1	4833	3	0	4790	other	0
07_S0314_v0	217	Picture	full0n	2778874	0	2	2834	3	0	2790	other	0
07_S0314_v0	218	Picture	full0i	2791541	0	2	4000	4	0	3950	other	0
07_S0314_v0	219	Picture	blue1n	2802542	0	1	3833	2	0	3790	false_alarm	251
07_S0314_v0	219	Response	10	2806551	4009	3
07_S0314_v0	220	Picture	full0n	2813542	0	1	4666	3	0	4620	other	0
07_S0314_v0	221	Picture	full0i	2827042	0	1	4000	2	0	3950	other	0
