Scenario - visual LTP Rap V4.0 HVA (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 04/17/2015 15:39:10

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
07_S0302_v0	74	Picture	full0n	994014	0	1	4833	2	0	4790	other	0
07_S0302_v0	75	Picture	full0i	1006681	0	1	3333	2	0	3290	other	0
07_S0302_v0	76	Picture	full1i	1020181	0	1	3500	2	0	3450	other	0
07_S0302_v0	77	Picture	full1n	1032848	0	1	3833	2	0	3790	other	0
07_S0302_v0	78	Picture	full0n	1045681	0	2	4500	3	0	4450	other	0
07_S0302_v0	79	Picture	full0i	1057848	0	1	2500	2	0	2450	other	0
07_S0302_v0	80	Picture	full1i	1068682	0	1	4166	2	0	4120	other	0
07_S0302_v0	81	Picture	blue0n	1081515	0	1	4667	2	0	4620	false_alarm	88
07_S0302_v0	81	Response	10	1085394	3879	3
07_S0302_v0	82	Picture	full1n	1092515	0	2	2500	4	0	2450	other	0
07_S0302_v0	83	Picture	full1i	1104849	0	1	3500	2	0	3450	other	0
07_S0302_v0	84	Picture	full1n	1115849	0	1	3167	2	0	3120	other	0
07_S0302_v0	85	Picture	full1i	1129016	0	1	3000	2	0	2950	other	0
07_S0302_v0	86	Picture	full0i	1140516	0	1	3333	3	0	3290	other	0
07_S0302_v0	87	Picture	full0n	1152016	0	2	3000	3	0	2950	other	0
07_S0302_v0	88	Picture	full1n	1164350	0	1	3000	2	0	2950	other	0
07_S0302_v0	89	Picture	full1i	1176516	0	2	3667	3	0	3620	other	0
07_S0302_v0	90	Picture	full1n	1189683	0	2	4000	4	0	3950	other	0
07_S0302_v0	91	Picture	full1i	1201017	0	1	4833	2	0	4790	other	0
07_S0302_v0	92	Picture	full1n	1214184	0	1	2500	2	0	2450	other	0
07_S0302_v0	93	Picture	full0i	1225517	0	2	4500	4	0	4450	other	0
07_S0302_v0	94	Picture	blue1i	1236851	0	1	3333	2	0	3290	false_alarm	102
07_S0302_v0	94	Response	10	1241694	4843	3
07_S0302_v0	95	Picture	full1n	1248684	0	2	4500	3	0	4450	other	0
07_S0302_v0	96	Picture	full0n	1261851	0	1	4167	2	0	4120	other	0
07_S0302_v0	97	Picture	full1i	1273351	0	2	3834	3	0	3790	other	0
07_S0302_v0	98	Picture	full1n	1284351	0	2	4500	4	0	4450	other	0
07_S0302_v0	99	Picture	full1i	1297518	0	2	2834	3	0	2790	other	0
07_S0302_v0	100	Picture	full1n	1308352	0	1	3833	2	0	3790	other	0
07_S0302_v0	101	Picture	full1i	1320519	0	1	4500	2	0	4450	other	0
07_S0302_v0	102	Picture	full0i	1331352	0	1	3667	2	0	3620	other	0
07_S0302_v0	103	Picture	blue1n	1342352	0	2	4500	3	0	4450	false_alarm	112
07_S0302_v0	103	Response	10	1347584	5232	2
07_S0302_v0	104	Picture	full1i	1353352	0	2	4501	3	0	4450	other	0
07_S0302_v0	105	Picture	full1n	1366853	0	1	4666	3	0	4620	other	0
07_S0302_v0	106	Picture	full1i	1378686	0	2	3167	3	0	3120	other	0
07_S0302_v0	107	Picture	full1n	1392186	0	2	2667	3	0	2620	other	0
07_S0302_v0	108	Picture	full0n	1404020	0	1	4667	2	0	4620	other	0
07_S0302_v0	109	Picture	full0i	1416187	0	1	5000	2	0	4950	other	0
07_S0302_v0	110	Picture	full1i	1428520	0	2	3500	3	0	3450	other	0
07_S0302_v0	111	Picture	full1n	1442020	0	2	4834	3	0	4790	other	0
07_S0302_v0	112	Picture	blue0n	1454354	0	1	4500	2	0	4450	false_alarm	122
07_S0302_v0	112	Response	10	1458584	4230	3
07_S0302_v0	113	Picture	full0i	1465687	0	2	2667	3	0	2620	other	0
07_S0302_v0	114	Picture	full1i	1477188	0	1	3166	2	0	3120	other	0
07_S0302_v0	115	Picture	full0n	1489854	0	2	3167	3	0	3120	other	0
07_S0302_v0	116	Picture	full0i	1500688	0	1	3167	2	0	3120	other	0
07_S0302_v0	117	Picture	full0n	1512521	0	2	3167	3	0	3120	other	0
07_S0302_v0	118	Picture	full1n	1525355	0	1	3833	3	0	3790	other	0
07_S0302_v0	119	Picture	full1i	1538855	0	2	4833	4	0	4790	other	0
07_S0302_v0	120	Picture	full1n	1551689	0	1	4500	2	0	4450	other	0
07_S0302_v0	121	Picture	blue0i	1563022	0	2	4500	3	0	4450	false_alarm	132
07_S0302_v0	121	Response	10	1566984	3962	3
07_S0302_v0	122	Picture	full0n	1574856	0	1	5000	2	0	4950	other	0
07_S0302_v0	123	Picture	full1i	1585856	0	1	2500	2	0	2450	other	0
07_S0302_v0	124	Picture	full0i	1598189	0	2	4667	3	0	4620	other	0
07_S0302_v0	125	Picture	full0n	1609523	0	1	3167	2	0	3120	other	0
07_S0302_v0	126	Picture	full0i	1620856	0	2	4334	3	0	4290	other	0
07_S0302_v0	127	Picture	full0n	1632357	0	1	3666	2	0	3620	other	0
07_S0302_v0	128	Picture	full0i	1644190	0	1	2667	2	0	2620	other	0
07_S0302_v0	129	Picture	blue1n	1657690	0	2	2829	12	0	2790	false_alarm	141
07_S0302_v0	129	Response	10	1661984	4294	3
07_S0302_v0	130	Picture	full0n	1671190	0	2	5001	3	0	4950	other	0
07_S0302_v0	131	Picture	full1i	1682191	0	1	3333	2	0	3290	other	0
07_S0302_v0	132	Picture	full0i	1694857	0	2	2834	3	0	2790	other	0
07_S0302_v0	133	Picture	full0n	1706358	0	1	3833	2	0	3790	other	0
07_S0302_v0	134	Picture	full0i	1718524	0	2	2834	3	0	2790	other	0
07_S0302_v0	135	Picture	full1n	1729358	0	1	3333	3	0	3290	other	0
07_S0302_v0	136	Picture	82	1740691	0	2	100169	3	0	next	other	0
07_S0302_v0	136	Picture	82	1840860	100169	1	10000	2	100000	next	other	0
07_S0302_v0	136	Picture	82	1850860	110169	1	10000	2	110000	next	other	0
07_S0302_v0	136	Picture	82	1860860	120169	1	10000	2	120000	next	other	0
07_S0302_v0	136	Picture	82	1870860	130169	1	10000	2	130000	next	other	0
07_S0302_v0	136	Picture	82	1880860	140169	1	10000	2	140000	next	other	0
07_S0302_v0	136	Picture	82	1890860	150169	1	10000	3	150000	next	other	0
07_S0302_v0	136	Picture	82	1900860	160169	2	10001	3	160000	next	other	0
07_S0302_v0	136	Picture	82	1910861	170170	1	10000	2	170000	next	other	0
07_S0302_v0	136	Picture	82	1920861	180170	1	10000	2	180000	next	other	0
07_S0302_v0	136	Picture	82	1930861	190170	1	10000	2	190000	10000	other	0
07_S0302_v0	137	Picture	full0n	1940861	0	1	3167	2	0	3120	other	0
07_S0302_v0	138	Picture	full0i	1953195	0	1	2833	2	0	2790	other	0
07_S0302_v0	139	Picture	full0n	1966028	0	1	4500	2	0	4450	other	0
07_S0302_v0	140	Picture	full1n	1977528	0	2	3500	4	0	3450	other	0
07_S0302_v0	141	Picture	blue0i	1991028	0	2	4834	3	0	4790	false_alarm	164
07_S0302_v0	141	Response	10	1994984	3956	3
07_S0302_v0	142	Picture	full0n	2003195	0	2	4334	3	0	4290	other	0
07_S0302_v0	143	Picture	full1i	2015529	0	1	3500	2	0	3450	other	0
07_S0302_v0	144	Picture	full1n	2026529	0	1	4167	2	0	4120	other	0
07_S0302_v0	145	Picture	full1i	2037862	0	3	3000	5	0	2950	other	0
07_S0302_v0	146	Picture	full0i	2050029	0	2	3834	3	0	3790	other	0
07_S0302_v0	147	Picture	full1n	2061029	0	2	5001	3	0	4950	other	0
07_S0302_v0	148	Picture	full1i	2073696	0	2	4166	4	0	4120	other	0
07_S0302_v0	149	Picture	blue0n	2085863	0	2	4167	3	0	4120	false_alarm	173
07_S0302_v0	149	Response	10	2089983	4120	5
07_S0302_v0	150	Picture	full0i	2098530	0	1	3667	2	0	3620	other	0
07_S0302_v0	151	Picture	full0n	2109364	0	1	4500	2	0	4450	other	0
07_S0302_v0	152	Picture	full0i	2121697	0	1	3333	3	0	3290	other	0
07_S0302_v0	153	Picture	full0n	2134030	0	2	4334	3	0	4290	other	0
07_S0302_v0	154	Picture	full1n	2146197	0	2	4667	3	0	4620	other	0
07_S0302_v0	155	Picture	full0i	2159364	0	2	2500	3	0	2450	other	0
07_S0302_v0	156	Picture	full1i	2170198	0	1	3000	2	0	2950	other	0
07_S0302_v0	157	Picture	full0n	2181198	0	1	5000	2	0	4950	other	0
07_S0302_v0	158	Picture	full1n	2193865	0	1	4500	2	0	4450	other	0
07_S0302_v0	159	Picture	blue1i	2207032	0	1	3000	2	0	2950	false_alarm	184
07_S0302_v0	159	Response	10	2210584	3552	3
07_S0302_v0	160	Picture	full0i	2218532	0	1	3333	2	0	3290	other	0
07_S0302_v0	161	Picture	full0n	2232032	0	1	3167	2	0	3120	other	0
07_S0302_v0	162	Picture	full1n	2245199	0	1	3833	2	0	3790	other	0
07_S0302_v0	163	Picture	full1i	2257366	0	1	5000	2	0	4950	other	0
07_S0302_v0	164	Picture	full1n	2269199	0	1	2500	2	0	2450	other	0
