Scenario - visual LTP Rap V4.0 HVA (based on combined block 1+2 from old 45 135 degree pilot)
Logfile written - 04/23/2015 13:39:34

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

08_S0304_v0	1	Response	128	32536	42369	1
08_S0304_v0	3	Picture	full1n	43000	0	1	3166	3	0	3120
08_S0304_v0	4	Picture	full1i	53930	0	238	2903	239	0	2790
08_S0304_v0	5	Picture	full1n	67167	0	1	4500	2	0	4450
08_S0304_v0	6	Picture	full0n	80333	0	2	3500	3	0	3450
08_S0304_v0	7	Picture	full1i	91167	0	1	4833	2	0	4790
08_S0304_v0	8	Picture	full1n	103334	0	1	4333	2	0	4290
08_S0304_v0	9	Picture	full0i	115500	0	1	3500	2	0	3450
08_S0304_v0	10	Picture	full0n	127834	0	1	4166	2	0	4120
08_S0304_v0	11	Picture	blue0i	139304	0	198	3030	199	0	2950
08_S0304_v0	11	Response	10	145674	6370	1
08_S0304_v0	12	Picture	full1i	151334	0	1	3833	2	0	3790
08_S0304_v0	13	Picture	full0n	164167	0	1	5000	2	0	4950
08_S0304_v0	14	Picture	full0i	176834	0	1	4167	2	0	4120
08_S0304_v0	15	Picture	full1n	190334	0	1	4167	2	0	4120
08_S0304_v0	16	Picture	full1i	203001	0	1	3667	2	0	3620
08_S0304_v0	17	Picture	full1n	214334	0	1	4500	2	0	4450
08_S0304_v0	18	Picture	blue1i	226501	0	1	3333	2	0	3290
08_S0304_v0	18	Response	10	231173	4672	1
08_S0304_v0	19	Picture	full1n	238668	0	1	4333	2	0	4290
08_S0304_v0	20	Picture	full0n	250835	0	1	4666	2	0	4620
08_S0304_v0	21	Picture	full1i	262668	0	1	2500	2	0	2450
08_S0304_v0	22	Picture	full0i	275001	0	1	3000	2	0	2950
08_S0304_v0	23	Picture	full0n	288501	0	2	5000	3	0	4950
08_S0304_v0	24	Picture	full0i	302001	0	2	4501	3	0	4450
08_S0304_v0	25	Picture	full0n	314835	0	1	3000	2	0	2950
08_S0304_v0	26	Picture	full1n	327502	0	1	3333	2	0	3290
08_S0304_v0	27	Picture	blue1i	339335	0	1	3167	2	0	3120
08_S0304_v0	27	Response	10	349961	10626	2
08_S0304_v0	28	Picture	full0i	352002	0	1	3833	2	0	3790
08_S0304_v0	29	Picture	full0n	364335	0	1	5000	2	0	4950
08_S0304_v0	30	Picture	full0i	376169	0	1	2500	2	0	2450
08_S0304_v0	31	Picture	full1n	387502	0	1	4333	2	0	4290
08_S0304_v0	32	Picture	full1i	399669	0	1	2833	2	0	2790
08_S0304_v0	33	Picture	full0n	411169	0	1	2833	2	0	2790
08_S0304_v0	34	Picture	full1n	422002	0	1	4167	2	0	4120
08_S0304_v0	35	Picture	full1i	434169	0	1	3667	2	0	3620
08_S0304_v0	36	Picture	full1n	447002	0	2	3667	3	0	3620
08_S0304_v0	37	Picture	full0i	459169	0	1	5000	2	0	4950
08_S0304_v0	38	Picture	blue1i	470503	0	1	2833	2	0	2790
08_S0304_v0	38	Response	10	475560	5057	1
08_S0304_v0	39	Picture	full1n	481503	0	1	3000	2	0	2950
08_S0304_v0	40	Picture	full0n	494169	0	2	2834	3	0	2790
08_S0304_v0	41	Picture	full0i	505170	0	1	4000	2	0	3950
08_S0304_v0	42	Picture	full0n	517336	0	1	3667	2	0	3620
08_S0304_v0	43	Picture	full0i	530170	0	1	2833	2	0	2790
08_S0304_v0	44	Picture	full0n	543336	0	2	4334	3	0	4290
08_S0304_v0	45	Picture	full1i	556503	0	1	3667	2	0	3620
08_S0304_v0	46	Picture	full0i	569170	0	1	3667	2	0	3620
08_S0304_v0	47	Picture	full1n	580003	0	1	4500	2	0	4450
08_S0304_v0	48	Picture	full0n	592170	0	1	3167	2	0	3120
08_S0304_v0	49	Picture	full1i	603670	0	1	3000	2	0	2950
08_S0304_v0	50	Picture	blue0i	615504	0	1	3166	2	0	3120
08_S0304_v0	50	Response	10	620158	4654	1
08_S0304_v0	51	Picture	full0n	627004	0	1	3833	2	0	3790
08_S0304_v0	52	Picture	full0i	639337	0	1	3000	2	0	2950
08_S0304_v0	53	Picture	full0n	650837	0	1	4834	2	0	4790
08_S0304_v0	54	Picture	full1n	664004	0	1	2500	2	0	2450
08_S0304_v0	55	Picture	full1i	674837	0	1	3000	2	0	2950
08_S0304_v0	56	Picture	full0i	688337	0	1	3000	2	0	2950
08_S0304_v0	57	Picture	full0n	699671	0	1	3667	2	0	3620
08_S0304_v0	58	Picture	full1n	712838	0	1	3333	2	0	3290
08_S0304_v0	59	Picture	full1i	725004	0	1	4500	2	0	4450
08_S0304_v0	60	Picture	blue1n	736838	0	1	4166	2	0	4120
08_S0304_v0	60	Response	10	742757	5919	1
08_S0304_v0	61	Picture	full0i	749171	0	1	2667	2	0	2620
08_S0304_v0	62	Picture	full0n	761838	0	1	4667	2	0	4620
08_S0304_v0	63	Picture	full0i	774005	0	1	2666	2	0	2620
08_S0304_v0	64	Picture	full1i	786838	0	1	4667	2	0	4620
08_S0304_v0	65	Picture	full0n	798338	0	1	2834	2	0	2790
08_S0304_v0	66	Picture	full1n	810505	0	1	4000	2	0	3950
08_S0304_v0	67	Picture	full1i	823338	0	1	3500	2	0	3450
08_S0304_v0	68	Picture	full1n	835672	0	1	4000	2	0	3950
08_S0304_v0	69	Picture	full0i	847838	0	2	4501	3	0	4450
08_S0304_v0	70	Picture	blue0n	860005	0	1	2500	2	0	2450
08_S0304_v0	70	Response	10	864455	4450	1
08_S0304_v0	71	Picture	full0i	872172	0	1	4167	2	0	4120
08_S0304_v0	72	Picture	full0n	883005	0	1	4834	2	0	4790
08_S0304_v0	73	Picture	full0i	894005	0	2	2500	4	0	2450
08_S0304_v0	74	Picture	full0n	906839	0	1	4833	2	0	4790
08_S0304_v0	75	Picture	full0i	919506	0	1	3333	2	0	3290
08_S0304_v0	76	Picture	full1i	933006	0	1	3500	2	0	3450
08_S0304_v0	77	Picture	full1n	945672	0	2	3834	3	0	3790
08_S0304_v0	78	Picture	full0n	958506	0	1	4500	2	0	4450
08_S0304_v0	79	Picture	full0i	970673	0	1	2500	2	0	2450
08_S0304_v0	80	Picture	full1i	981506	0	1	4167	2	0	4120
08_S0304_v0	81	Picture	blue0n	994339	0	2	4667	3	0	4620
08_S0304_v0	81	Response	10	998953	4614	2
08_S0304_v0	82	Picture	full1n	1005340	0	1	2500	2	0	2450
08_S0304_v0	83	Picture	full1i	1017673	0	1	3500	2	0	3450
08_S0304_v0	84	Picture	full1n	1028673	0	1	3167	2	0	3120
